Date,Price,Open,High,Low,Vol.,Change %
"Mar 13, 2020","1,587.70","1,576.70","1,591.10","1,551.05",-,0.71%
"Mar 12, 2020","1,576.55","1,642.90","1,650.00","1,560.65",-,-4.00%
"Mar 11, 2020","1,642.30","1,649.30","1,671.80","1,632.40",404.35K,-1.08%
"Mar 10, 2020","1,660.30","1,679.60","1,681.30","1,641.10",385.48K,-0.92%
"Mar 09, 2020","1,675.70","1,692.60","1,704.30","1,658.00",504.16K,0.20%
"Mar 06, 2020","1,672.40","1,673.10","1,692.80","1,642.40",659.63K,0.26%
"Mar 05, 2020","1,668.00","1,638.20","1,675.50","1,635.60",363.00K,1.52%
"Mar 04, 2020","1,643.00","1,640.10","1,654.30","1,632.60",313.34K,-0.09%
"Mar 03, 2020","1,644.40","1,586.00","1,650.50","1,585.90",466.53K,3.11%
"Mar 02, 2020","1,594.80","1,592.80","1,612.10","1,576.30",443.53K,1.79%
"Feb 28, 2020","1,566.70","1,646.10","1,651.00","1,564.00",745.84K,-4.61%
"Feb 27, 2020","1,642.50","1,643.00","1,662.50","1,636.70",573.29K,-0.04%
"Feb 26, 2020","1,643.10","1,637.30","1,657.10","1,626.60",531.90K,-0.42%
"Feb 25, 2020","1,650.00","1,661.80","1,666.70","1,627.00",672.76K,-1.59%
"Feb 24, 2020","1,676.60","1,656.00","1,691.70","1,652.80",680.82K,1.69%
"Feb 21, 2020","1,648.80","1,623.60","1,652.10","1,621.60",489.19K,1.75%
"Feb 20, 2020","1,620.50","1,615.00","1,626.50","1,606.60",403.04K,0.54%
"Feb 19, 2020","1,611.80","1,604.80","1,615.90","1,602.40",307.89K,0.51%
"Feb 18, 2020","1,603.60","1,585.10","1,608.20","1,581.80",414.24K,1.04%
"Feb 17, 2020","1,587.05","1,586.15","1,588.45","1,581.85",-,0.05%
"Feb 16, 2020","1,586.25","1,585.50","1,586.25","1,583.45",-,-0.01%
"Feb 14, 2020","1,586.40","1,579.00","1,588.20","1,576.00",227.11K,0.48%
"Feb 13, 2020","1,578.80","1,569.80","1,581.70","1,568.50",276.25K,0.46%
