Year,Price(USD),Open(USD),High(USD),Low(USD),Close(USD),Change %,increase or not
2020,50.73,61.18,63.27,28.93,28.93,-52.62,positive
2019,57.05,46.54,66.3,46.54,61.06,34.46,positive
2018,64.9,60.37,76.41,42.53,45.41,-24.84,positive
2017,50.84,52.33,60.42,42.53,60.42,12.47,positive
2016,43.58,36.76,54.06,26.21,53.72,45.03,positive
2015,48.72,52.72,61.43,34.73,37.04,-30.7,positive
2014,93.17,95.14,107.95,53.45,53.45,-45.55,positive
2013,97.98,93.14,110.62,86.65,98.17,6.9,positive
2012,94.05,102.96,109.39,77.72,91.83,-7.08,positive
2011,94.88,91.59,113.39,75.4,98.83,8.15,positive
2010,79.48,81.52,91.48,64.78,91.38,15.1,positive
2009,61.95,46.17,81.03,34.03,79.39,78.0,positive
2008,99.67,99.64,145.31,30.28,44.6,-53.52,positive
2007,72.34,60.77,99.16,50.51,95.95,57.68,positive
2006,66.05,63.11,77.05,55.9,60.85,-0.34,positive
2005,56.64,42.16,69.91,42.16,61.06,40.82,positive
2004,41.51,33.71,56.37,32.49,43.36,33.37,positive
2003,31.08,31.97,37.96,25.25,32.51,4.17,positive
2002,26.19,21.13,32.68,18.02,31.21,56.36,positive
2001,25.98,27.29,32.21,17.5,19.96,-25.3,positive
2000,30.38,25.56,37.22,23.91,26.72,3.73,positive
1999,19.35,12.42,28.03,11.38,25.76,112.19,positive
1998,14.42,17.41,17.93,10.82,12.14,-31.22,positive
1997,20.61,25.55,26.55,17.6,17.65,-31.85,positive
1996,22.12,19.83,26.55,17.33,25.9,32.55,positive
1995,18.43,17.45,20.53,16.86,19.54,9.96,positive
1994,17.2,14.52,20.72,13.89,17.77,25.23,positive
1993,18.43,19.03,21.05,13.98,14.19,-27.19,positive
1992,20.58,19.43,23.03,17.89,19.49,1.78,positive
1991,21.54,26.53,32.25,17.43,19.15,-32.76,positive
1990,24.53,22.88,41.07,15.43,28.48,30.4,positive
1989,19.64,17.38,24.62,16.99,21.84,27.57,positive
1988,15.97,17.77,18.54,12.58,17.12,2.27,positive
1987,19.2,18.13,22.44,15.12,16.74,-6.64,positive
